kode;nama
1.01.0.00.0.00.01.0000;Dinas Pendidikan
1.02.0.00.0.00.01.0000;Dinas Kesehatan
1.02.0.00.0.00.02.0000;RSUD CIBABAT
1.03.0.00.0.00.01.0000;Dinas Pekerjaan Umum dan Penataan Ruang
1.04.1.03.2.10.01.0000;Dinas Perumahan dan Kawasan Permukiman
1.05.0.00.0.00.03.0000;Satuan Polisi Pamong Praja dan Pemadam Kebakaran
1.05.0.00.0.00.04.0000;Badan Penanggulangan Bencana Daerah
1.06.1.06.0.00.06.0000;Dinas Sosial
2.07.3.32.0.00.01.0000;Dinas Tenaga Kerja
2.08.2.14.2.13.01.0000;Dinas Pemberdayaan Perempuan dan Perlindungan Anak, Pengendalian Penduduk dan Keluarga Berencana
2.09.3.27.3.25.02.0000;Dinas Pangan dan Pertanian
2.11.1.03.0.00.02.0000;Dinas Lingkungan Hidup
2.12.0.00.0.00.02.0000;Dinas Kependudukan dan Pencatatan Sipil
2.15.0.00.0.00.01.0000;Dinas Perhubungan
2.16.2.20.2.21.05.0000;Dinas Komunikasi dan Informatika
2.18.0.00.0.00.23.0000;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu
2.22.3.26.2.19.04.0000;Dinas Kebudayaan, Pariwisata, Kepemudaan dan Olahraga
2.24.2.23.0.00.01.0000;Dinas Arsip Daerah
3.30.2.17.3.31.07.0000;Dinas Perdagangan, Koperasi, Usaha Kecil dan Menengah, dan Perindustrian
4.01.0.00.0.00.01.0000;Sekretariat Daerah
4.02.0.00.0.00.01.0000;Sekretariat DPRD
5.01.5.05.0.00.01.0000;Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Daerah
5.02.0.00.0.00.02.0000;Badan Pengelola Pendapatan Daerah
5.02.0.00.0.00.05.0000;Badan Pengelola Keuangan dan Aset Daerah
5.03.5.04.0.00.02.0000;Badan Kepegawaian dan Pengembangan Sumber Daya Manusia Daerah
6.01.0.00.0.00.01.0000;Inspektorat
7.01.0.00.0.00.01.0000;Kecamatan Cimahi Utara
7.01.0.00.0.00.02.0000;Kecamatan Cimahi Tengah
7.01.0.00.0.00.03.0000;Kecamatan Cimahi Selatan
8.01.0.00.0.00.01.0000;Badan Kesatuan Bangsa dan Politik
